r,b,d,  free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
0,0,0,139960,1588,1032780,0,0,3280,24,9969,14059,1,3,95,0,0
0,0,0,118052,1796,1056804,0,0,12896,96,11972,16460,2,4,94,0,0
0,0,0,120840,1640,1054256,0,0,3804,48,10925,17785,2,3,95,0,0
1,0,0,121328,1604,1053816,0,0,6336,48,8459,14334,1,2,96,0,0
0,0,0,129336,1932,1044200,0,0,1340,0,15341,20557,3,5,92,0,0
0,1,0,129392,2100,1041828,0,0,7088,4,11867,17373,2,4,93,0,0
0,0,0,121240,2096,1050652,0,0,6868,24,13507,16973,1,3,95,0,0
0,0,0,127664,1968,1043456,0,0,3880,20,12322,17928,1,3,96,0,0
0,0,0,118032,1968,1054548,0,0,1868,24,10537,12821,2,4,95,0,0
4,0,0,131812,1880,1040524,0,0,1092,16,13888,18714,2,3,95,0,0
0,0,0,124664,1888,1048664,0,0,1144,48,6815,10893,1,3,96,0,0
0,0,0,132020,1808,1041892,0,0,1736,32,7418,11866,1,3,96,0,0
0,0,0,132888,1764,1040392,0,0,4812,76,8781,15309,2,3,95,0,0
0,0,0,140680,1608,1033688,0,0,27596,0,13713,16699,2,4,93,1,0
3,0,0,125888,1748,1049500,0,0,8020,48,8966,12970,2,4,94,0,0
0,0,0,130352,2112,1041008,0,0,1456,0,8591,14168,3,4,93,0,0
0,0,0,126180,2068,1046800,0,0,3856,24,13373,19308,3,4,93,0,0
0,0,0,127700,2020,1044132,0,0,1380,16,9966,14543,1,3,96,0,0
0,0,0,130740,1952,1041408,0,0,4460,32,11466,14171,2,4,94,0,0
0,0,0,130732,1992,1041808,0,0,2460,0,11872,16770,2,3,95,0,0
0,0,0,128716,1996,1044552,0,0,2436,60,11927,15613,2,4,94,0,0
0,0,0,124448,1980,1047456,0,0,2200,36,13207,17251,1,3,96,0,0
0,0,0,127792,1984,1045416,0,0,1376,96,10547,14919,1,4,95,0,0
0,0,0,125928,1992,1046276,0,0,3412,0,12329,16447,1,4,95,0,0
0,0,0,125400,1776,1045704,0,0,564,24,10944,14960,1,3,96,0,0
1,0,0,130384,1748,1040816,0,0,6928,4,10598,14130,1,2,96,0,0
3,0,0,135464,1760,1035296,0,0,5276,44,8405,13012,2,4,94,0,0
1,0,0,125888,1836,1045460,0,0,3840,0,8886,14499,4,4,92,1,0
0,0,0,120320,1944,1050784,0,0,11236,56,14032,18286,4,5,91,0,0
0,0,0,155476,2240,1014948,0,0,5608,0,11987,17988,2,3,95,0,0
0,0,0,134308,2244,1036400,0,0,12952,28,8609,12850,2,4,95,0,0
1,0,0,137860,2000,1033376,0,0,11484,36,7680,11767,2,3,95,0,0
0,0,0,124040,2012,1048352,0,0,3636,96,12144,16096,2,4,94,0,0
0,0,0,128176,1908,1043572,0,0,7248,0,11320,15010,1,4,94,0,0
1,0,0,128484,1820,1042264,0,0,2000,28,8434,12185,1,3,96,0,0
0,0,0,120436,1920,1051332,0,0,2696,0,10822,14900,2,3,95,0,0
0,0,0,131940,1912,1040668,0,0,6048,60,7487,11124,2,3,95,0,0
0,0,0,119600,1912,1053476,0,0,188,0,9882,15915,2,2,96,0,0
1,0,0,128176,2268,1039664,0,0,1368,28,10999,16254,3,5,92,0,0
0,0,0,139604,2356,1025816,0,0,920,0,12375,20336,2,4,94,0,0
1,0,0,125508,2356,1041652,0,0,1268,28,13790,18213,2,4,94,0,0
0,0,0,136736,2356,1031268,0,0,796,48,9308,12956,2,3,95,0,0
1,0,0,124044,2392,1046412,0,0,3420,96,9910,15545,3,3,94,0,0
0,0,0,143124,2072,1026352,0,0,28756,0,11806,14031,2,5,92,1,0
0,0,0,135232,2072,1034160,0,0,1192,24,6637,9529,1,3,95,0,0
0,0,0,118688,2072,1051916,0,0,6572,0,8115,13857,1,2,96,0,0
0,0,0,125256,1864,1045252,0,0,4172,64,7868,13488,1,2,96,0,0
0,0,0,131776,1680,1037636,0,0,1216,4,9097,11655,1,4,95,0,0
0,0,0,118624,1680,1054432,0,0,3004,24,11518,17275,2,2,95,0,0
0,0,0,125512,2156,1046760,0,0,6372,0,14541,19509,2,5,92,0,0
0,0,0,128860,2312,1042100,0,0,2888,28,12909,17876,2,4,93,0,0
0,0,0,128512,2176,1043092,0,0,3328,44,12616,17625,2,2,96,0,0
0,0,0,128340,2120,1042684,0,0,452,72,10303,14592,2,4,94,0,0
0,0,0,128324,2036,1043108,0,0,4268,28,8881,12271,2,4,93,0,0
0,0,0,125284,2040,1046976,0,0,2616,48,12150,16359,2,3,95,0,0
1,0,0,131584,1920,1040888,0,0,552,0,9003,13899,1,2,97,0,0
0,0,0,128260,1852,1044272,0,0,3828,40,12539,15745,2,4,94,0,0
1,0,0,129788,1620,1042096,0,0,1356,0,11016,17524,2,3,95,0,0
0,0,0,128228,1544,1046528,0,0,8408,28,10142,15207,2,3,95,0,0
2,0,0,124936,1520,1048956,0,0,1628,4,11194,16782,1,3,95,0,0
0,0,0,137784,2044,1034136,0,0,3292,60,16378,22506,3,5,92,0,0
0,0,0,132792,2148,1037720,0,0,14296,36,14596,19299,2,5,93,0,0
0,0,0,128792,2144,1041788,0,0,4684,52,10822,14814,2,4,94,0,0
0,0,0,131832,2100,1038408,0,0,10480,24,10509,13538,1,4,95,0,0
0,0,0,131076,2040,1039388,0,0,3156,44,12496,16469,2,3,95,0,0
0,0,0,138360,1848,1032528,0,0,18292,0,12852,16719,2,4,94,1,0
1,0,0,123044,1848,1047500,0,0,1228,44,12389,17224,2,3,95,0,0
0,0,0,132108,1568,1038412,0,0,1756,0,12164,18598,1,3,96,0,0
0,0,0,128228,1520,1042944,0,0,1528,24,12398,16423,1,3,96,0,0
0,0,0,128424,1460,1042520,0,0,2748,0,14156,19283,2,4,95,0,0
0,0,0,118320,1448,1052712,0,0,6972,60,12802,19350,2,3,95,1,0
0,0,0,132204,1412,1036992,0,0,7944,32,14223,20215,3,5,92,0,0
1,0,0,121612,1540,1045524,0,0,6372,28,16764,22862,2,4,94,0,0
1,0,0,121360,1360,1046720,0,0,17104,68,11819,15156,2,5,94,0,0
1,0,0,134684,1268,1031928,0,0,4204,28,12207,15225,2,4,94,1,0
2,0,0,124856,1268,1043324,0,0,312,0,9393,11972,1,2,96,0,0
0,0,0,124572,1224,1042684,0,0,2156,40,13431,17449,2,4,94,0,0
4,0,0,131604,1192,1037076,0,0,2356,0,11337,15544,1,3,96,0,0
1,0,0,119232,1208,1049244,0,0,4956,48,7878,10887,2,4,93,1,0
5,0,0,132524,1572,1033732,0,0,3284,0,7775,11728,1,3,95,0,0
1,0,0,132336,1552,1033308,0,0,5800,28,11253,14476,2,4,94,0,0
2,0,0,119996,1692,1049652,0,0,2472,36,10344,14650,1,4,95,0,0
1,0,0,129884,1740,1037624,0,0,4036,24,10116,15417,3,4,92,0,0
3,0,0,135840,1916,1030232,0,0,4912,48,11383,17940,2,4,94,0,0
2,0,0,6418532,1920,1050816,0,0,6736,48,9765,16777,1,5,93,0,0
1,0,0,6395616,1924,1074272,0,0,17100,0,7799,10779,1,4,95,0,0
