r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
0,0,0,5129860,14624,2326132,0,0,0,0,8140,12739,1,2,96,0,0
0,0,0,5129764,14624,2326004,0,0,0,28,11467,15201,1,3,96,0,0
1,0,0,5129400,14624,2325992,0,0,0,0,10311,13827,1,3,96,0,0
1,0,0,5129480,14624,2325940,0,0,0,60,7741,13454,2,3,95,0,0
1,0,0,5128944,14624,2325980,0,0,0,0,10596,13702,2,3,95,0,0
0,0,0,5129164,14640,2325948,0,0,0,56,12318,16362,2,4,94,0,0
0,0,0,5128880,14640,2325892,0,0,0,0,8972,12569,2,2,96,0,0
0,0,0,5129100,14640,2325948,0,0,0,60,10939,15477,2,3,95,0,0
0,0,0,5129116,14640,2325888,0,0,0,16,12033,16157,1,2,96,0,0
0,0,0,5130060,14648,2325920,0,0,0,44,14287,19939,3,5,92,0,0
0,0,0,5130060,14648,2325904,0,0,0,0,7864,13122,2,2,96,0,0
1,0,0,5130264,14648,2325864,0,0,0,28,11169,15633,1,3,96,0,0
1,0,0,5130176,14648,2325776,0,0,0,0,12844,17333,2,4,94,0,0
1,0,0,5130216,14656,2325848,0,0,0,80,11651,15254,1,3,96,0,0
0,0,0,5129428,14656,2325732,0,0,0,4,12771,16406,2,3,95,0,0
0,0,0,5128940,14656,2325688,0,0,0,24,11258,13998,1,3,96,0,0
0,0,0,5131284,14656,2325680,0,0,0,0,10806,14319,2,4,94,0,0
0,0,0,5133268,14664,2325708,0,0,0,76,11817,16318,2,4,94,0,0
1,0,0,5133624,14664,2325696,0,0,0,16,7297,11849,1,2,97,0,0
0,0,0,5134616,14664,2325596,0,0,0,28,8507,13477,2,2,95,0,0
0,0,0,5132552,14664,2325612,0,0,0,0,11912,18277,3,6,91,0,0
0,0,0,5133024,14664,2325588,0,0,0,24,13575,18305,2,3,95,0,0
0,0,0,5132668,14664,2325552,0,0,0,0,12043,15926,1,3,96,0,0
6,0,0,5132708,14680,2325572,0,0,0,92,12177,15922,2,3,95,0,0
0,0,0,5133432,14680,2325580,0,0,0,0,11079,17026,1,3,95,0,0
0,0,0,5133352,14680,2325480,0,0,0,24,8772,14754,2,3,95,0,0
1,0,0,5133320,14680,2325564,0,0,0,0,6553,10335,2,2,96,0,0
0,0,0,5133060,14688,2325552,0,0,0,76,4814,5840,14,9,50,0,
0,0,0,5132328,14688,2325492,0,0,0,44,11409,15338,2,3,95,0,0
0,0,0,5132800,14688,2325516,0,0,0,24,15106,20043,2,4,94,0,0
0,0,0,5132532,14688,2325384,0,0,0,0,12929,17207,1,2,96,0,0
0,0,0,5132728,14688,2325428,0,0,0,28,12165,17589,4,5,91,0,0
0,0,0,5131808,14688,2325332,0,0,0,0,11922,17250,2,3,95,0,0
0,0,0,5131396,14704,2325384,0,0,0,96,7956,15344,2,2,96,0,0
0,0,0,5131320,14704,2325348,0,0,0,0,7553,15405,2,2,96,0,0
0,0,0,5131364,14704,2325336,0,0,0,24,6949,12435,2,3,95,0,0
2,0,0,5131348,14704,2325312,0,0,0,0,10026,14154,2,3,96,0,0
0,0,0,5130812,14712,2325176,0,0,0,76,6835,11984,2,3,95,0,0
3,0,0,5130796,14712,2325180,0,0,0,44,7979,13023,2,2,96,0,0
0,0,0,5131048,14712,2325220,0,0,0,24,8934,11845,2,4,94,0,0
0,0,0,5131016,14712,2325220,0,0,0,0,10516,14082,2,4,94,0,0
0,0,0,5131000,14720,2325200,0,0,0,48,8225,11073,2,2,95,0,0
0,0,0,5128404,14720,2325148,0,0,0,0,10802,18671,3,4,93,0,0
0,0,0,5128448,14720,2325116,0,0,0,60,11783,15647,2,4,94,0,0
0,0,0,5129172,14720,2325104,0,0,0,0,9298,11323,1,3,95,0,0
2,0,0,5129140,14720,2325048,0,0,0,24,12709,16416,2,3,95,0,0
0,0,0,5131612,14720,2325096,0,0,0,0,10287,16994,2,3,95,0,0
1,0,0,5130564,14736,2325036,0,0,0,60,8560,14390,2,3,95,0,0
0,0,0,5130288,14736,2325036,0,0,0,72,13025,16347,2,3,94,0,0
4,0,0,5131248,14744,2324936,0,0,0,44,12391,17750,2,4,94,0,0
6,0,0,5131248,14744,2325000,0,0,0,4,8652,12007,2,2,96,0,0
3,0,0,5131216,14744,2324956,0,0,0,28,9554,11783,2,3,95,0,0
0,0,0,5131436,14744,2324920,0,0,0,0,7742,12198,2,2,96,0,0
0,0,0,5130748,14744,2324964,0,0,0,60,10766,17009,3,4,93,0,0
1,0,0,5131176,14744,2324888,0,0,0,0,8761,14878,2,2,95,0,0
0,0,0,5130884,14760,2324888,0,0,0,56,7181,11516,2,2,96,0,0
1,0,0,5130600,14760,2324868,0,0,0,0,13518,17345,2,2,96,0,0
0,0,0,5130496,14760,2324816,0,0,0,28,6515,9598,12,9,60,0,
0,0,0,5129764,14760,2324808,0,0,0,72,10079,15574,2,4,95,0,0
0,0,0,5130496,14768,2324728,0,0,0,44,11842,17488,1,2,96,0,0
0,0,0,5130236,14768,2324804,0,0,0,0,8398,12443,1,2,96,0,0
2,0,0,5130668,14768,2324784,0,0,0,28,7449,10421,1,3,96,0,0
0,0,0,5130360,14768,2324736,0,0,0,0,11737,18156,2,3,95,0,0
4,0,0,5130424,14776,2324664,0,0,0,80,11840,15112,1,3,96,0,0
0,0,0,5130368,14776,2324692,0,0,0,0,11814,16946,3,6,91,0,0
5,0,0,5130240,14776,2324652,0,0,0,24,12435,22290,2,3,95,0,0
0,0,0,5130344,14776,2324600,0,0,0,0,8083,11923,1,2,96,0,0
5,0,0,5130140,14776,2324668,0,0,0,28,8667,13522,2,2,96,0,0
3,0,0,5131272,14776,2324608,0,0,0,36,10605,18011,1,3,95,0,0
4,0,0,5131224,14792,2324544,0,0,0,84,7769,12765,2,2,95,0,0
1,0,0,5131476,14792,2324536,0,0,0,0,12513,15841,2,4,95,0,0
7,0,0,5131404,14792,2324588,0,0,0,32,10735,13988,2,3,95,0,0
0,0,0,5132780,14792,2324524,0,0,0,0,10206,15092,2,2,96,0,0
9,0,0,5132640,14800,2324428,0,0,0,80,7013,12535,2,2,96,0,0
2,0,0,5131872,14800,2324472,0,0,0,0,12470,16594,1,2,96,0,0
8,0,0,5131548,14800,2324408,0,0,0,24,14526,21411,3,5,93,0,0
0,0,0,5131560,14800,2324432,0,0,0,0,10515,18759,2,3,95,0,0
3,0,0,5131748,14800,2324432,0,0,0,8,8451,11723,2,3,95,0,0
2,0,0,5131788,14808,2324372,0,0,0,88,11228,17673,2,2,96,0,0
4,0,0,5132724,14808,2324392,0,0,0,52,7992,13860,3,3,94,0,0
2,0,0,5132748,14808,2324304,0,0,0,0,10389,14831,1,2,96,0,0
2,0,0,5132748,14816,2324384,0,0,0,48,7840,12574,2,3,95,0,0
4,0,0,5132212,14816,2324296,0,0,0,0,7401,12105,1,2,97,0,0
1,0,0,5131912,14816,2324220,0,0,0,60,10346,16187,2,2,95,0,0
0,0,0,5131556,14816,2324148,0,0,0,0,8906,14056,2,2,96,0,0
3,0,0,5132320,14816,2324172,0,0,0,24,11791,15861,1,4,95,0,0
8,0,0,5129704,14816,2324236,0,0,0,0,13616,18366,2,5,92,0,0
4,0,0,5129444,14832,2324116,0,0,0,60,10829,15932,2,4,95,0,0
3,0,0,5129468,14832,2324164,0,0,0,16,7987,13389,2,3,96,0,0
0,0,0,5128124,14832,2324144,0,0,8,60,8309,13795,2,3,94,0,0
0,0,0,5128184,14832,2324156,0,0,0,20,6850,12651,1,3,96,0,0
2,0,0,5128964,14840,2324264,0,0,0,24,7594,11490,2,3,95,0,0
2,0,0,5129016,14840,2324216,0,0,0,24,10255,13964,1,3,96,0,0
1,0,0,5129364,14840,2324192,0,0,0,36,8846,13184,2,2,95,0,0
3,0,0,5129308,14840,2324136,0,0,0,24,12251,16233,2,3,95,0,0
1,0,0,5129364,14840,2324116,0,0,0,4,9847,16473,2,2,95,0,0
0,0,0,5129276,14840,2324028,0,0,0,20,8304,12831,1,2,97,0,0
6,0,0,5129292,14856,2324032,0,0,0,36,10072,13676,2,3,96,0,0
1,0,0,5128748,14856,2324040,0,0,0,40,9085,13958,3,4,94,0,0
0,0,0,5127832,14856,2324016,0,0,0,56,9606,16615,3,4,93,0,0
1,0,0,5128000,14864,2324080,0,0,0,44,7118,11083,2,2,96,0,0
1,0,0,5130164,14864,2323984,0,0,0,4,11750,15592,2,2,96,0,0
3,0,0,5131320,14864,2323928,0,0,0,24,11359,14850,1,3,95,0,0
4,0,0,5131384,14864,2323940,0,0,0,36,10297,13411,2,4,95,0,0
4,0,0,5131248,14864,2323988,0,0,0,28,9378,12697,1,3,96,0,0
0,0,0,5131140,14872,2323884,0,0,0,12,10371,14572,2,2,96,0,0
1,0,0,5131100,14880,2323952,0,0,0,44,5993,9620,22,9,70,0,
0,0,0,5130808,14880,2323928,0,0,0,0,11787,17340,1,3,96,0,0
1,0,0,5131052,14880,2323856,0,0,0,44,9592,14299,2,3,96,0,0
2,0,0,5130468,14880,2323900,0,0,0,32,12704,20202,4,5,92,0,0
1,0,0,5129964,14888,2323780,0,0,0,72,8244,13118,2,3,95,0,0
0,0,0,5129948,14888,2323856,0,0,0,0,14087,18524,2,3,96,0,0
0,0,0,5129144,14888,2323704,0,0,0,28,10047,17805,1,2,96,0,0
1,0,0,5129128,14888,2323756,0,0,0,32,11818,16093,2,2,96,0,0
0,0,0,5129584,14896,2323692,0,0,0,48,13435,17840,2,3,95,0,0
0,0,0,5129504,14896,2323740,0,0,0,0,11905,15617,2,3,96,0,0
0,0,0,5129284,14896,2323628,0,0,0,24,3795,4679,14,9,50,0,
0,0,0,5130316,14896,2323724,0,0,2,0,6127,9569,12,9,60,0,
0,0,0,5130292,14896,2323724,0,0,0,44,6156,9569,12,9,60,0,
0,0,0,5130332,14904,2323684,0,0,0,40,9793,14400,3,3,94,0,0
0,0,0,5129976,14912,2323624,0,0,0,72,9646,15510,2,5,93,0,0
0,0,0,5130408,14912,2323620,0,0,0,0,12946,18026,2,4,95,0,0
0,0,0,5130116,14912,2323644,0,0,0,28,8361,16995,1,2,97,0,0
0,0,0,5130044,14912,2323556,0,0,0,32,12422,16544,1,3,96,0,0
1,0,0,5130060,14920,2323584,0,0,0,48,7140,11399,3,3,94,0,0
0,0,0,5130368,14920,2323468,0,0,0,0,9764,13754,2,2,96,0,0
0,0,0,5130320,14920,2323504,0,0,0,24,10041,14193,1,3,96,0,0
0,0,0,5130120,14920,2323520,0,0,0,0,6740,10191,3,2,95,0,0
0,0,0,5130272,14920,2323448,0,0,0,44,9240,13056,1,3,96,0,0
0,0,0,5130184,14936,2323584,0,0,0,64,11764,19068,2,4,94,0,0
0,0,0,5129972,14936,2323564,0,0,8,52,6648,10689,1,2,96,0,0
0,0,0,5130892,14936,2323572,0,0,0,0,8602,14551,3,4,93,0,0
1,0,0,5130096,14944,2323496,0,0,0,48,12177,16867,2,3,95,0,0
0,0,0,5130176,14944,2323544,0,0,0,32,10856,14511,2,2,96,0,0
0,0,0,5130064,14944,2323436,0,0,0,28,13247,17374,1,3,96,0,0
0,0,0,5129740,14944,2323468,0,0,0,0,8033,16905,2,3,96,0,0
0,0,0,5129796,14944,2323360,0,0,0,24,10701,13694,1,2,97,0,0
0,0,0,5130020,14952,2323416,0,0,0,12,11952,15420,2,3,95,0,0
0,0,0,5129984,14960,2323392,0,0,0,56,13573,17673,2,3,95,0,0
0,0,0,5130880,14960,2323428,0,0,0,4,11374,17175,3,4,93,0,0
0,0,0,5130912,14960,2323316,0,0,0,80,6303,9516,23,9,50,0,
0,0,0,5130904,14960,2323400,0,0,0,0,6606,9879,22,9,60,0,
